# SignalUncertainties for simplified model based on squark+gluino production 
# with all open production modes (go go, sq sq, sq go, sq sq~) considered
# See further details in ATLSUSYSW-233
SAMPLE        FS        CROSSSECTION[pb]           K-Factor  FILTEREFF REL.UNCERT
373822         1         0.0000167400         1         1         0.54146647
373822         2         0.0000533165         1         1         0.56749563
373822         3         0.0000005055         1         1         0.35468139
373822         4         0.0000000210         1         1         0.85561553
373823         1         0.0000044372         1         1         0.59931876
373823         2         0.0000042850         1         1         0.72819773
373823         3         0.0000005170         1         1         0.35486751
373823         4         0.0000000222         1         1         0.85513470
373824         1         0.0001069422         1         1         0.48620281
373824         2         0.3117794703         1         1         0.17359028
373824         3         0.0000000004         1         1         0.58085877
373824         4         0.0000000000         1         1         0.68590460
373825         1         0.0000264254         1         1         0.54868175
373825         2         0.0125079634         1         1         0.25815471
373825         3         0.0000000005         1         1         0.57981797
373825         4         0.0000000000         1         1         0.65227188
373826         1         0.0000066628         1         1         0.60522930
373826         2         0.0007763262         1         1         0.38111384
373826         3         0.0000000007         1         1         0.57795830
373826         4         0.0000000000         1         1         0.62530469
373827         1         0.0000016571         1         1         0.66100859
373827         2         0.0000583527         1         1         0.53206131
373827         3         0.0000000008         1         1         0.57833012
373827         4         0.0000000000         1         1         0.60617915
373828         1         0.0000003938         1         1         0.71267543
373828         2         0.0000046761         1         1         0.69235206
373828         3         0.0000000009         1         1         0.57797965
373828         4         0.0000000000         1         1         0.59773406
